标题	年份	类型	国家	时长	评分	人数	概括	链接
四分钟 Vier Minuten	2006	剧情/音乐	德国	112	8.6	6484	　　年届八十的克鲁格夫人（Monica Bleibtreu）有极深的钢琴造诣，因为藏有不为人知的青春秘密，她六十年来如一日地在一所女囚监狱教授钢琴，不在乎有无薪水，也不在乎学生的多寡。费劲周折将一架崭新的钢琴搬到监狱后，她的钢琴课却因一名学生的自杀面临被终结的危险。　　替人顶罪的叛逆女孩杰妮（Hannah Herzsprung）要求学钢琴，但因举止粗鲁遭到克鲁格夫人的拒绝，前者自顾自地弹下流畅、激情、放肆的音符，后者发现她在音乐上不可限量的才华，定下苛刻条件答应教她，又强迫她去参加一个专门挖掘21岁以下的天才钢琴师的大赛。慢慢地，音乐冲破了两人巨大的年龄差距，她们曾受过深重创伤的心灵也渐渐通过彼此获得慰藉，然而，一切并非表面般风平浪静。	http://movie.douban.com/subject/1947266/	
独行杀手 Le samouraï	1967	剧情/悬疑/惊悚/犯罪	法国 / 意大利	105	8.4	6627	　　杰夫（阿兰·德龙 Alain Delon 饰）是一名沉默寡言的杀手，他住在一间旅馆里，仅与一只鸟为伴。独来独往的他接到委托暗杀俱乐部的老板，尽管行动天衣无缝，但警察还是扣押了他。钢琴女马蕾莉（凯茜·罗齐尔 Cathy Rosier 饰）认出了杰夫就是当天的可疑男子，但她却选择了包庇杰夫，这使杰夫心生疑虑。杰夫找到中间人结算工钱，没想到中间人开枪打伤了他。逃过一劫的杰夫暗中查明了雇主的身份，找到并且杀死了他，但同时，他发现，当初袒护他的马蕾莉，居然是雇主的情人。心情复杂的杰夫举着手枪来到俱乐部质问马蕾莉，却被早已埋伏在此的警察乱枪打死，事后，警察们发现，杰夫的手枪中并没有子弹，他这一行为的意义也成为了一个永远的秘密。　　影片维持了导演让-皮埃尔·梅尔维尔（Jean-Pierre Melville）一贯的冷硬风格，也成为了主演阿兰•德龙（Alain Del...	http://movie.douban.com/subject/1300966/	
祖与占 Jules et Jim	1962	剧情/爱情	法国	105	8.5	13776	　　一战前，德国人祖（奥斯卡·威内尔 Oskar Werner 饰）和法国人占（亨利·赛尔 Henri Serre饰）在巴黎结识。他们意趣相投，对诗歌和小说都有强烈而共同的兴趣，甚至二人为着同一个雕塑也着迷。顺利成章地，祖与占都爱上了同一个女子：聪明貌美的凯瑟琳（让娜·莫罗 Jeanne Moreau饰）。　　在这样的关系中，占选择了成全温柔单纯的祖。他们一起到乡间度假，度过了美妙时光。然而一战的爆发，却让他们失去了联系，在自己国家服役期间，他们多么担心会在战场上杀死自己的好友。而祖，从不间断地给妻子凯瑟琳写信。　　战争结束，祖与占再次相遇，占觉察到祖和凯瑟琳的关系很糟糕——她对婚姻以外的感情从没停止过追逐，喜欢在各种爱情关系中享受自由。占在祖家中住下，凯瑟琳毫不掩饰对占的爱，这段三角关系平衡而快乐的维系着，旁人完全看不透。当占要离去时，凯瑟琳直率锐利的性格...	http://movie.douban.com/subject/1292338/	
水牛城66 Buffalo &#39;66	1998	剧情/喜剧/爱情/犯罪	美国	110	8.5	15355	　　倒霉的比利（文森特•加洛 Vincent Gallo 饰）替人顶罪蹲了5年牢，今天，他出狱了。可是他的霉运似乎还没有结束，刚出狱的比利内急想上厕所小便时，不是厕所维修就是被拒绝；即使鬼鬼祟祟的躲到汽车后面想就地解决时汽车也马上开走了。　　比利和双亲的关系并不好，但他一直想修复与父母的关系。即使坐牢，比利也想方设法瞒着家里，他告诉他们这5年自己在外打拼，已功成名就，并承诺将带着女友回家。为了实现承诺，他“绑架”了一名女孩蕾拉作为自己的女友。　　可是，当比利带着蕾拉回到家里时，事情并没有预想中顺利。	http://movie.douban.com/subject/1297311/	
小公主 A Little Princess	1995	剧情/家庭/奇幻	美国	97	8.6	8876	　　富有的克鲁上校和她的女儿萨拉（利塞尔•马修斯 Liesel Matthews 饰）在印度度过了一段幸福美好的时光。直到战争爆发，因为萨拉的母亲在她出生的时候就去世了，上战场前，克鲁上校不得不把萨拉送到了纽约著名的米切恩女子学校，将女儿委托给了米切恩夫人代为照顾，并留下了一笔不菲的报酬，以便自己走后女儿生活无忧。米切恩夫人看在这笔丰厚酬劳的面子上，给萨拉安排了最大最好的房间，即使是在违背校规的情况下也默许萨拉带着母亲留给她的项链。天真活泼的萨拉总是有一些奇思妙想的小故事，让她很快和其他孩子融洽的相处起来。在大家的簇拥下，萨拉俨然过着小公主一般的生活。但天有不测风云，就在她生日那天，前线却突然传来了她父亲阵亡的消息，萨拉成了孤儿，米切恩夫人开始暴露出她贪婪势利的本性，萨拉的生活轨迹开始发生变化…　　本片改编自弗朗西斯•霍奇森•伯内特同名小说《小公主》。	http://movie.douban.com/subject/1293993/	
邦尼和琼 Benny &amp; Joon	1993	剧情/喜剧/爱情	美国	98	8.5	12402	　　邦尼（艾丹•奎因 Aidan Quinn 饰）在汽车修理厂工作。他有一个智障的妹妹琼（玛丽•斯图尔特•马斯特森 Mary Stuart Masterson 饰）令他非常操心。为了照顾妹妹，邦尼一直单身，因为他不想把琼送到专门的疗养院。某一天，邦尼和琼遇到了一个不速之客——邦尼朋友的远房亲戚萨姆（约翰尼•德普 Johnny Depp 饰）。这个萨姆行为古怪，他在酒吧里可以用面包玩出花样，还会模仿经典影片的桥段，逗大家开心。于是，邦尼邀请他做自己妹妹的保姆。在相处中，两个年轻人渐渐建立了一种特殊的感情。同时，邦尼也遇到了心上人路西（朱丽安•摩尔 Julianne Moore 饰），但是对妹妹的责任感让他对这段恋情有所忌惮。或许是出于对妹妹的爱，他拒绝萨姆的请求，结果萨姆带着琼私奔了。但是，因为改变环境，琼开始发疯，她被强制送进了医院……	http://movie.douban.com/subject/1308314/	
关于我母亲的一切 Todo sobre mi madre	1999	剧情	西班牙 / 法国	101	8.5	26319	　　玛努埃拉（丝莉亚 洛芙　饰）的丈夫在儿子出生前就离开了妻子，玛努埃拉成为了单身妈妈，带着儿子埃斯特班来到马德里生活。儿子从不知道爸爸的事情，玛努埃拉只好对儿子说父亲已经过世。然而，儿子终究不相信。他在日记本里悄悄写下对父亲的想念。　　车祸来得那么突然，儿子被一辆迎面撞来的汽车夺走了生命。母亲悲伤不已，决定去找孩子的父亲洛拉，完成儿子心愿。然而她却得知，洛拉已经换装成女人，当了妓女，而且染上了艾滋病。更不幸的是，修女罗萨（佩内洛普 饰）怀上了洛拉的孩子。玛努埃拉留在罗萨身边照顾她，罗萨诞下的婴儿也取自己儿子埃斯特班的名字，苦难的日子终于有了希望--这个新生儿竟然逃过了艾滋的噩运。	http://movie.douban.com/subject/1291937/	
千钧一发 Gattaca	1997	剧情/爱情/科幻/惊悚	美国	106	8.7	41987	　　未来的世界，科技的力量胜过一切，基因决定命运，几乎成为金科玉律。不幸文森特（伊桑•霍克 Ethan Hawke  饰）是一个基因不良的人，出生以来就决定了他近视和心脏病的缺陷，他只能活到30岁。于是父母为文森特增添了一个有着优良基因的弟弟。　　文森特的梦想是漫游太空，然而恶劣的基因令他无法圆梦，直到他遇到了太空中心的杰罗姆（裘德•洛 Jude Law  饰）。杰罗姆有优秀的基因，却在一次意外中半身瘫痪。二人决定调换身份，文森特千方百计隐藏自己的基因信息，每天都认真清洗掉自己的皮屑毛发，不暴露任何蛛丝马迹。另一方面，杰罗姆帮他筹备进入太空前需要检查的基因物品。事情进展得非常顺利，然而一桩谋杀案和一根睫毛，让事情节外生枝。	http://movie.douban.com/subject/1300117/	
2001太空漫游 2001: A Space Odyssey	1968	科幻/悬疑/冒险	美国 / 英国	160	8.5	54879	　　这部影片是库布里克花了四年时间制作的充满哲学命题的鸿篇巨制。一块大黑石树立在史前人类的面前，他们刚刚开始认识工具，进入到进化的里程碑。同样的黑石还在宇宙多处出现，它们矗立在月球上，漂浮在太空中，带着某种神秘的寓意。　　现在的时间是2001年，为了寻找黑石的根源，人类开展一项木星登陆计划。飞船上有冬眠的三名宇航员，大卫船长（凯尔·杜拉 Keir Dullea饰）、富兰克飞行员（加里·洛克伍德 Gary Lockwood饰），还有一部叫“HAL9000”的高智能电脑。HAL在宇宙飞行过程中发生错乱，令到富兰克和三名冬眠人员相继丧命，剩下波曼和这台电脑作战。　　从死亡线上回来的大卫一气之下关掉主脑系统，HAL彻底失效。现在，茫茫宇宙中只剩大卫一人，向木星进发。穿越瑰异壮观的星门，大卫仿佛去到一个奇特的时空，那里有人类无尽的生死轮回和宇宙的终极知识……	http://movie.douban.com/subject/1292226/	
美国X档案 American History X	1998	剧情/犯罪	美国	119	8.5	49428	　　德瑞克（爱德华•诺顿 Edward Norton 饰）的父亲在他很小的时候就被一名黑人毒贩射杀，从此给他幼小的心灵埋下了仇恨的种子。原来德瑞克功课很好，是老师眼中的好学生。但自从父亲遇难后，他就将一切心机都放在了对付有色人种上面。他积极组织起一帮白人青年混混，到处和有色人种对着干。一次，他射杀了两名黑人，因此入狱。　　入狱后，德瑞克加入了一伙新纳粹的白人。后来，因工作关系他和一名黑人成了好友，他开始反思自己的过去。当他意欲脱离狱中新纳粹组织时，遭到了拳打脚踢。德瑞克出狱后，决心和以前自己组织的帮会脱离关系，带着弟弟远走他乡开始新的生活。	http://movie.douban.com/subject/1293527/	
我的名字叫可汗 My Name Is Khan	2010	剧情/爱情	印度	165	8.5	36990	　　信奉伊斯兰教的里兹瓦·罕（沙鲁克·罕 Shahrukh Khan 饰）从小患有阿斯伯格综合症，母亲去世后，他追随弟弟扎克尔（吉米·舍尔吉勒 Jimmy Shergill 饰）的脚步 从印度孟买移民美国旧金山。里兹瓦在帮弟弟的化妆品公司推销美容产品时认识了经营发廊的单身母亲曼迪娅（卡卓尔 Kajol 饰）。里兹瓦不顾弟弟的反对执意与印度教的曼迪娅结为夫妇，一家人和谐美满。9.11恐怖袭击的发生使美国国内掀起了反对、歧视穆斯林教徒的风潮，里兹瓦与曼迪娅的发廊被迫关张，而曼迪娅的独子山姆（Yuvaan Makaar 饰）更是在一场由种族歧视引发的少年争斗中意外身亡。悲愤的曼迪娅将愤怒发泄在了里兹瓦的穆斯林姓氏“罕”上，说只有里兹瓦告诉美国人民及美国总统他的姓氏并非与恐怖分子相关，才会与他再次相见。就这样，执着的里兹瓦踏上了艰难的觐见总统之途……	http://movie.douban.com/subject/3169043/	
狗镇 Dogville	2003	剧情/悬疑/惊悚	丹麦 / 瑞典 / 挪威 / 芬兰 / 英国 / 法国 / 德国 / 荷兰 / 意大利	178	8.5	37999	　　封闭守旧的美国小镇闯进了一个神秘女子格蕾斯（妮可•基德曼 Nicole Kidman  饰）。她美丽善良，正在逃避歹徒追杀。镇中的作家汤姆力劝村民留下这个女子，让她暂时在镇里避过难关。然而条件就是格蕾丝要干各种农活来偿还。人们同意了，不久后却发现格蕾丝是一个通缉中的逃犯。大家要把格蕾丝赶走，最后答应，如果她更卖力的干活，才可以在这里逗留。　　格蕾丝日以继夜的劳作，终难逃过不幸的事情发生。一个镇民在警察搜捕后，强暴了格蕾丝。龌龊的事情拉开了序幕：人们开始随意的污辱她，甚至连汤姆，也揭开了善良的面具，格蕾斯沦为镇上的一条狗，干活，受罪，善良的心也有了渐渐的改变。镇上的人怎么也想不到，这个女子的神秘身世，让此刻的污辱成为了他日的灭顶之灾。	http://movie.douban.com/subject/1298759/	
我们天上见	2009	剧情/家庭	中国大陆	85	8.6	37775	　　上世纪70年代末，时代的狂潮正渐渐退去热度。在南方某个古朴的小镇，小女孩蒋晓兰（朱一诺 饰）和姥爷（朱旭 饰）相依为命。晓兰的父母早年下放边疆，在学校她又因与“最大的阶级敌人”同姓而倍受欺负和排挤。破旧的小院是晓兰最为自由的天地，而家里的大衣柜则是她最后的避难之所。早年因战乱和疾病，姥爷几乎失去所有的亲人，因此这个调皮又善良的外孙女成了他生活的全部。时光缓缓流逝，细雨绵绵的小镇永远带着化不开的愁绪，渴望成为体操冠军的晓兰（姚君 饰）一天天长大，而那个永远牵挂着她的姥爷却慢慢地老去……　　本片为著名影星蒋雯丽的导演处女作，也是人艺老演员朱旭的封镜之作。影片荣获2009第14届釜山电影节观众最喜爱影片奖。	http://movie.douban.com/subject/3732800/	
费城故事 Philadelphia	1993	剧情/同性	美国	125	8.6	47916	　　安德鲁（汤姆•汉克斯 Tom Hanks 饰）和米勒（丹泽尔•华盛顿 Denzel Washington 饰）认识于法庭上，两人都是年轻有为的律师，各为其主。然而，年轻的安德鲁不久后因为同性恋和身染艾滋病被老板发现，以莫须有理由解雇了。　　遭解雇后的安德鲁四处寻找律师为他讨回公道。当安德鲁找到米勒时，米勒一开始拒绝了他。因为米勒像普通人一样憎恨同性恋和惧怕艾滋病，但当他看到安德鲁在图书馆搜索“艾滋病歧视”时遭到管理员的白眼，听着妻子缓慢而平静地说出他们的姨妈、朋友有很多也是同性恋时，他决定受理安德鲁的案件。　　在最后的法庭上，病危的安德鲁毅然出庭……	http://movie.douban.com/subject/1293145/	
杀人回忆 살인의 추억	2003	剧情/悬疑/惊悚/犯罪	韩国		8.5	115044	　　1986年，韩国京畿道华城郡，热得发昏的夏天，在田野边发现一具女尸，早已发臭。小镇警察朴探员（宋康昊饰）和汉城来的苏探员（金相庆饰）接手案件，唯一可证实的是这具女尸生前被强奸过。线索的严重缺乏让毫无经验的朴探员和搭档曹探员（金罗河饰）只凭粗暴逼供和第六感推断，几次将犯罪嫌疑人屈打成招。而苏探员客观冷静，据理分析，几次排除嫌疑，警察内部为了证明与推翻矛盾不断，然而无辜女子还是接二连三被残忍杀害，他们只好达成共识一起合作。此时，一个极其符合作案特征的小青年（朴海日饰）成为最大嫌疑人，警方神经绷紧地锁定住他，同时DNA检测报告也被送往美国，然而案件并不在此处停止。	http://movie.douban.com/subject/1300299/	
非常嫌疑犯 The Usual Suspects	1995	悬疑/惊悚/犯罪	德国 / 美国	106	8.6	74787	　　美国加州的圣佩雷罗港一艘货轮爆炸，死亡27人，9000万美元失踪。事故发生以后，联邦调查局探员白基奇在医院等待昏迷不醒的幸存者；海关特派员大卫（查兹•帕明特里 饰）则对另外一名拿到特赦令的幸存者金特（凯文•史派西 饰）进行了审问。　　金特供认，在事故中丧生的基顿（加布里埃尔•伯恩 饰）、法特（本尼西奥•德托罗 饰）、麦曼诺（斯蒂芬•鲍尔文 饰）和杜学尼（凯文•波拉克 饰），以及他本人，六个月前被警察局作为卡车抢劫案的疑犯带到警局过了一夜，五人因此结成了一个犯罪团伙，狼狈为奸，狠捞了好几笔。好景不长，某天，律师小林（皮特•波斯尔思韦特 饰）找到他们，让他们替神秘头目凯撒•苏尔烧掉货轮上的毒品。法特第一个退出，随即遭到杀害，剩下四人不得不接受了这个任务。在货轮上，麦曼诺、法特、基顿都没有找到毒品，也因此相继被凯撒杀害，船也被炸毁，金特因为留在岸上接应而侥幸...	http://movie.douban.com/subject/1292214/	
我们俩	2005	剧情	中国大陆	88	8.6	56030	　　冬天，在某个四合院孤孤单单生活的老太（金雅琴）迎来一个来北京求学的外地女孩（宫哲）。女孩想租老太离学校很近的房子，但嫌老太要价太高，老太一脸爱住不住的表情坚决不降价，女孩无奈租了下来，两人开始磕磕绊绊争吵不休的主客生活。无论是安装电话、缴纳电话费，还是点电炉、借用电冰箱，女孩都觉得老太在处处算计她，心里十分委屈，老太看她，也是一百个不顺眼。　　但日久生情，两人渐渐成了彼此的依靠。日子溜过春天、夏天，老太眼见女孩生活尤其恋爱中的喜怒哀乐，她晚年的孤独因为有女孩的陪伴冲淡了不少。秋天来临，女孩找到更好的住处，要离开老太，老太的精神一下子垮了下来。	http://movie.douban.com/subject/1756073/	
买凶拍人 買兇拍人	2001	喜剧/动作/犯罪	香港	94	8.3	73543	　　职业杀手Bart（葛民辉饰）技艺高超，雇主很多，收入不俗。他与妻子阿玲（方子璇饰）居于高级住宅区，小日子过的非常滋润。可惜好景不长，金融风暴后夫妻二人陷入经济危机。Bart迫于无奈，便为有钱太太杀人服务，不想有钱太太要求苛刻，要Bart在杀人之余还得拍下杀人过程，方泄心头之恨。Bart深明顾客至上的道理，决定找一个拍档合作。凑巧Bart在酒吧见到导演阿全（张达明饰），二人一拍即合，成为了杀手导演二人组，一时间生意大增，一连串的“买凶拍人”行动随即展开。后来江湖大佬标哥听闻，决定聘Bart及阿全代劳，杀死社团叛徒大雄，并要拍下影带，好让他有真凭实据能向社团交代，稳坐执事人一职。这次买凶拍人行动能否成功呢？	http://movie.douban.com/subject/1300616/	
茜茜公主 Sissi	1955	剧情/喜剧/爱情/历史	奥地利	102	8.5	61626	　　《茜茜公主》系列影片包括《茜茜公主》、《年轻的皇后》和《皇后的命运》三部曲。作为系列影片的首部，该片讲述了茜茜公主（罗密·施奈德 Romy Schneider 饰）与奥地利国王弗兰兹·约瑟夫（卡尔亨兹·伯恩 Karlheinz Böhm 饰）邂逅相恋的故事。　　茜茜出生在 巴伐利亚的贵族之家，她美艳动人，性格活泼。姨妈苏菲打算安排自己的儿子，即奥地利王位继承人弗兰兹，在他的生日庆典上与茜茜的姐姐海伦订婚。母亲和姐姐带着茜茜赴奥地利参加庆典，调皮的她偷偷溜出去钓鱼，不料却与英俊的国王弗兰兹相遇。茜茜动人的微笑深深击中弗兰兹，让他彻底爱上了天真纯情的茜茜，并不顾一切违背母亲苏菲的旨意，在生日庆典上宣布茜茜才是自己的皇后。虽然有情人终成眷属，但这段浪漫纯真的爱情却是刚刚面临考验。	http://movie.douban.com/subject/1304056/	
蝴蝶 Le Papillon	2002	剧情/喜剧/家庭	法国	85	8.6	75027	　　丽莎（柯莱儿布翁尼许Claire Bouanich 饰），今年8岁，单亲，喜欢提问，各种各样童稚的问题。邻居的爷爷（米歇尔•塞罗 Michel Serrault 饰 ），儿子已经去世，脾气古怪，有收集蝴蝶标本的癖好。一天，丽莎闯进了爷爷的密室，发现了五彩斑斓的蝴蝶标本。爷爷还说，他要到山上去采集一个叫“伊莎贝拉”的蝴蝶，丽莎大喜，要跟爷爷一起去探险，她多么希望跟着爷爷去看满天飞的蝴蝶。一路上，丽莎给爷爷添了不少麻烦，因为她有问不完的问题，还放走了爷爷采来的蝴蝶。丽莎掉进了一个山洞，爷爷着急，找来了救生人员。两人的友谊、亲情，与美丽的大自然融为一体。	http://movie.douban.com/subject/1292056/	
穆赫兰道 Mulholland Dr.	2001	剧情/悬疑/惊悚/同性	法国 / 美国	147	8.4	155142	　　深夜的穆赫兰道发生一桩车祸，女子丽塔（劳拉·赫利 Laura Harring 饰）在车祸中失了忆。她跌跌撞撞来到一个公寓里藏身。　　一名男子说他常常梦见一个叫云奇的地方，那里有个恶魔盯着他。于是就来到云奇，果真见到墙后有怪物出现，男子当场晕死。　　另有一名杀手杀死了他面前 的男人，然而蹩脚的他却惹来了不少一连串的麻烦。　　故事回到一个刚到好莱坞“寻梦”的女子贝蒂（娜奥米·沃茨 Naomi Watts 饰），她的姨父姨母在电影圈有广泛人缘，让贝蒂的发展如虎添翼，试镜大受好评。同时，她所住的公寓，正好是丽塔藏身之地。贝蒂收留了丽塔，二人感情融洽。面对记不起自己是谁的丽塔，贝蒂决定帮助她寻找回自己的记忆。　　一名导演想自己决定新戏的女主角，却被他人强行安排人选。工作不顺意的他还发现妻子和清洁工睡在一起。　　这些看似松散的事件，就像一个迷宫，引向一个让人猜不透的世界…...	http://movie.douban.com/subject/1292217/	
真爱至上 Love Actually	2003	剧情/喜剧/爱情	英国 / 美国	135	8.5	226435	　　这是一出10个爱情故事窜成的喜剧杂烩：　　失去母亲的小男孩终日郁郁寡欢，继父不知该如何安慰。当他得知继子喜欢上学校里最美的女孩，便热烈地鼓励儿子去追。小男孩为了赢得小女孩的关注，废寝忘食地练习架子鼓，只为了在圣诞节的晚会上能与她同台演出。勇敢的他，甚至为了最后的一记道别潇洒地突破机场的安检区。　　两个孩子的母亲面对了婚姻危机。丈夫感情出轨，把项链送给了别的女人，给她的，则仅是一张她热爱的女歌手的CD。她找了借口仓皇躲入卧室，在歌声中隐忍啜泣。转个身，又夸张地大笑着，迎向娇女爱子欢喜的面容。 丈夫最终幡然醒悟。　　……　　如此的小故事共有十出，温暖你我的心。	http://movie.douban.com/subject/1292401/	
曼联重生 United	2011	剧情	英国	97	8.6	5077	　　1956年，19岁的Bobby Charlton（杰克·奥康奈尔 Jack O'Connell 饰）在助理教练Jimmy Murphy（大卫·田纳特 David Tennant 饰）的帮助下第一次获得在曼联一线队的出场机会。当时的曼联队在主教练Matt Busby（多格雷·斯科特 Dougray Scott 饰）管理下，人才济济，拥有众多天才球员，被称为“巴斯比的孩子”。其中就有Mark Jones,，Duncan Edwards（山姆·克拉弗林 Sam Claflin 饰）和Eddie Colman等希望之星。曼联在欧洲冠军联赛客场对阵德国的拜仁慕尼黑，随后就要赶回英国参加联赛。在Busby的一再要求下，英国足总始终不同意推迟曼联的联赛，导致曼联刚在德国踢完球就得搭乘飞机返回英国。德国的暴风雪让飞机一再延迟起飞，在飞机作了最后一次尝试之后，不幸发生...	http://movie.douban.com/subject/5383158/	
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises	2012	剧情/动作/悬疑/惊悚/犯罪	美国 / 英国	165	8.5	210324	　　检察官哈维·登特（艾伦·艾克哈特 Aaron Eckhart 饰）死后的八年间，哥谭市在戈登警长（加里·奥德曼 Gary Oldman 饰）的努力下有效地遏制了犯罪活动。而蝙蝠侠布鲁斯·韦恩（克里斯蒂安·贝尔 Christian Bale 饰）因为背负谋杀登特的罪名，被 警方通缉，在哥谭市销声匿迹。然而，这看似平静的状态被恐怖分子贝恩（汤姆·哈迪 Tom Hardy 饰）的出现打破，他利用猫女（安妮·海瑟薇 Anne Hathaway 饰）偷取布鲁斯的指纹，致使韦恩集团面临破财，布鲁斯被赶出董事会。为了保证韦恩集团投资的能源项目不被坏人利用制造核弹，布鲁斯帮助米兰达（玛丽昂·歌迪亚 Marion Cotillard 饰）成为董事会主席。贝恩接下来一连串精密设计的计划将哥谭市陷入孤绝之境，毁灭之日指日可待。布鲁斯只能再次肩负起拯救哥谭的重任，然而至亲的...	http://movie.douban.com/subject/3395373/	
理查二世 Richard II	2012	剧情/历史	英国	140	8.6	7062	　　BBC2历史电视电影系列《空王冠》演绎4部经典莎士比亚作品。这部电视电影作为伦敦文化奥运的重点推荐剧目在2012年6月播出向全世界推行。　　本剧是《空心冠》的第一集。理查二世（本·卫肖 Ben Whishaw 饰）虽是英格兰国王，但实权被叔父兰开斯特公爵约翰·冈特把持。另一个叔父格洛斯特公爵托马斯也野心勃勃，企图摄政。理查由此而记恨亲政后对他们进行报复。1397年，托马斯被捕后未及受审就暴死在狱中，公爵头衔被废除。理查驱逐了约翰的长子毛勃莱公爵、以及自己的堂弟兰开斯特公爵亨利（罗里·金奈尔 Rory Kinnear 饰），并在1399年约翰去世后没收了兰开斯特家的领地，用没收的钱财充当攻打爱尔兰的军费。亨利以此作为攻打理查的藉口。1399年，在理查远征爱尔兰时举兵拘捕了他，并让国会同意将他废黜，由亨利即位。理查在监牢中囚禁多年，最终被杀害。	http://movie.douban.com/subject/6753589/	
亨利四世：第二部分 Henry IV, Part 2	2012	剧情/历史	英国	115	8.5	3752	　　BBC2历史电视电影系列《空王冠》（The Hollow Crown）4部经典莎士比亚作品的新演绎，分别是：《理查二世》（Richard II）、《亨利四世：第一部》（Henry IV, Part 1）、《亨利四世：第二部》（Henry IV, Part 2）和《亨利五 世》（Henry V）。在2012年伦敦奥运会期间，为了向全世界展现英国文化，这四部电视电影将作为伦敦文化奥运的重点推荐剧目向全世界推行，在2012年6月播出。　　夺取理查二世权势的亨利四世，将由奥斯卡影帝杰瑞米·艾恩斯 Jeremy Irons饰演，将由《丑闻纪事》的导演理查德·艾尔掌镜，在《复仇者联盟》中雷神弟弟“洛基”汤姆·希德勒斯顿 Tom Hiddleston将饰演Prince Hal，西蒙·拉塞尔·比尔 Simon Russell Beale饰演约翰·福斯塔夫爵士，艾伦·阿...	http://movie.douban.com/subject/10543906/	
亨利四世：第一部分 Henry IV, Part 1	2012	剧情/历史	英国 / 美国	115	8.6	4769	　　BBC2历史电视电影系列《空王冠》（The Hollow Crown）4部经典莎士比亚作品的新演绎，分别是：《理查二世》（Richard II）、《亨利四世：第一部》（Henry IV, Part 1）、《亨利四世：第二部》（Henry IV, Part 2）和《亨利五 世》（Henry V）。在2012年伦敦奥运会期间，为了向全世界展现英国文化，这四部电视电影将作为伦敦文化奥运的重点推荐剧目向全世界推行，在2012年6月播出。　　《亨利四世》是该系列的第二部。夺取理查二世权势的亨利四世，将由奥斯卡影帝杰瑞米·艾恩斯 Jeremy Irons饰演，将由《丑闻纪事》的导演理查德·艾尔掌镜，在《复仇者联盟》中雷神弟弟“洛基”汤姆·希德勒斯顿 Tom Hiddleston将饰演Prince Hal，西蒙·拉塞尔·比尔 Simon Russell Beale饰...	http://movie.douban.com/subject/10441064/	
赛德克·巴莱 賽德克·巴萊	2011	剧情/历史/战争	台湾	153	8.7	73169	　　此条目为国内上映合集条目，上下集条目分别为：　　赛德克·巴莱(上)太阳旗<a href="http://www.douban.com/link2/?url=http%3A%2F%2Fmovie.douban.com%2Fsubject%2F10450409%2F">http://movie.douban.<wbr>com/subject/10450409</wbr><wbr>/</wbr></a>　　赛德克·巴莱(下)彩虹桥<a href="http://www.douban.com/link2/?url=http%3A%2F%2Fmovie.douban.com%2Fsubject%2F6393127%2F">http://movie.douban.<wbr>com/subject/6393127/</wbr><wbr></wbr></a>　　在险恶的日据时代，赛德克族被迫失去自己的文化信仰，男人须服劳役不得狩猎、女人帮佣不能编织彩衣，骁勇善战的英雄莫那鲁道（林庆台 Ching-tai Lin 饰），见证三十年来的压迫统治。因一场误会种下日警和赛德克族的紧张关係，自此族人便活在恐遭日警报复的阴霾中，忍辱负重的莫那鲁道在深思后，虽知将面临灭族危机，但他明白唯有挺身为民族尊严反击，才能成为真正的赛德克人，于是决心带领族人循着祖灵之训示，夺回属于他们的猎场……	http://movie.douban.com/subject/3993559/	
赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋	2011	剧情/历史/战争	台湾	132	8.7	33305	　　莫那鲁道（林庆台 饰）率领族人在公学斩杀异族血祭祖灵后，拥有了通过彩虹桥的资格，剩下来的，就是在英勇战斗后从容赴死。在日本方面，雾社的消息很快传达各处，陆军少将镰田弥彦率军队与警察组成的联合部队，迅速发起讨伐。马赫坡等社分头行动，利用地形优势和灵活战术给予日军先头部队重大杀伤。山地警小岛（安藤政信 饰）利用个人威望和部族矛盾成功劝说铁木瓦力斯（马志翔 饰）连同部落加入日军阵营，协助围攻莫那鲁道。在开战初期，随部落向密林转移的妇孺为了不拖累战士们，纷纷自尽，在矛盾中痛苦的一郎亦选择了切腹。镰田弥彦对部队的缓慢推进大为光火，不惜使用糜烂性炸弹对付赛德克人。满山火光中，莫那鲁道迎来了最后决战的时刻……	http://movie.douban.com/subject/6393127/	
