标题	年份	类型	国家	时长	评分	人数	概括	链接
完美的世界 A Perfect World	1993	剧情/惊悚/犯罪	美国	138	9.0	47520	　　单亲孩子菲利普·佩里（T·J·劳瑟 T.J. Lowther 饰）的母亲对他管教甚严，8岁的小菲利普甚至从未参加过一次鬼节讨糖果的游戏。附近州监狱的两名罪犯越狱成功，劫持了菲利普作为人质，向德州边界逃窜。途中，罪犯之一的布奇（凯文·科斯特纳 Kevin Costner 饰）干掉了鲁莽愚蠢的同伙，却对小菲利普照顾有佳。与此同时，德州警探瑞德（克林特·伊斯特伍德 Clint Eastwood 饰）带着手下和州长特派的犯罪专家萨利（劳拉·邓恩 Laura Dern 饰）一同火速追捕布奇。双方在德克萨斯州境内展开了一场公路赛大竞技；而小菲利普也经历了很多从未想过过的刺激与快乐，并与布奇产生了一种近似父子的不寻常感情……	http://movie.douban.com/subject/1300992/	
伴我同行 Stand by Me	1986	剧情/儿童/冒险	美国	89	8.9	31710	　　这是一部关于成长的电影。著名作家戈迪（理查德•德莱福斯 Richard Dreyfuss 饰）回忆起他12岁时的一次冒险活动：当时，年少的戈迪（威尔•惠顿 Wil Wheaton 饰）与他的三个小伙伴克里斯（瑞凡•菲尼克斯 River Phoenix 饰）、泰迪（科里•费尔德曼 Corey Feldman 饰）和维恩为了当一回“英雄”去河的对岸的森林里寻找一具12岁男孩的尸体。　　4个少年家庭各有问题，他们都有自己的心事。在旅程中每个人的性格都被体现得淋漓尽致：四个男孩性格中的软弱和坚强，在闪火车，翻铁门，越森林等一系列的行动中被最大限度的放大；每个人都有自己可望而不可及的梦想……　　1987年金球奖最佳电影、最佳导演提名，1987年奥斯卡奖最佳编剧提名	http://movie.douban.com/subject/1292925/	
大独裁者 The Great Dictator	1940	剧情/喜剧/战争	美国	125	8.9	18248	　　影片讲述第一次世界大战，托曼尼亚王国独裁者辛格尔（查理·卓别林饰）上台。他的大肆扩张导致战乱不断民不聊生。并且他大搞阴谋政策，煽动民众对犹太人的敌对与仇恨，让犹太人民陷入水深火热的灾难之中。被征入伍的犹太人理发师查理（查理·卓别林饰）更是在这样的高压政策下难逃一劫。当查理逃出边境时，被驻守在这里的军队误认为是独裁者辛格尔，他趁机做了一场“为自由而战斗”的大演说。　　该片是查理·卓别林的第一部有声片，摄于希特勒统治最为黑暗的时期，片中对他辛辣讽刺跟丑化比比皆是。本片荣获第13届（1941）奥斯卡最佳电影、最佳男主角、最佳男配角、最佳编剧、最佳音乐5项提名。	http://movie.douban.com/subject/1295646/	
雾中风景 Τοπίο στην ομίχλη	1988	剧情	法国 / 希腊 / 意大利		8.9	14048	　　电影讲述一个80年代末的寻父故事。乌拉（塔尼娅 帕拉依奥罗葛Tania Palaiologou饰）和弟弟亚历山大（米卡利斯 泽克 Michalis Zeke饰）偶然听妈妈说从未谋面的父亲原来远在德国，他们便决心要踏上艰辛的寻父之路。然而，母亲说的只不过是一个谎言——他们只是这个世界上某个男人的私生子。然而，固执倔强的乌拉还是和弟弟一起上路了。　　旅途充满了风雪、泥泞、人情的残酷和世间的无情，两姐弟在熬不完的寒凉凄苦里挣扎着前行，直到遇见马戏团演员奥瑞斯提。他的关怀让乌拉慢慢卸下心中防卫。乌拉带着亚历山大上了奥瑞斯提的汽车，心里分外感激眼前这个唯一一个给他们带来温暖的男人。但是，令人绝望的命运无法给乌拉得到喘息，她再一次陷入了深渊当中……　　疲惫的姊弟俩终于来到德国，然而他们能见到父亲吗，或许这趟旅程注定只是一场残忍的成人礼。	http://movie.douban.com/subject/1294252/	
沉静如海 Le silence de la mer	2004	剧情/战争	法国 / 比利时	90	9.0	14630	　　法国人André（迈克尔·加拉布鲁 Michel Galabru 饰）和她的孙女Jeanne（朱莉·德拉姆 Julie Delarme 饰）原本平静的生活因二战的到来和德军对法国的侵占被打破，更让他们无法接受的是，他们家里的一个房间竟被征用作为一个德国军官Werner（托马斯·儒阿特 Thomas Jouannet 饰）的起居室。他们对这个敌方的军官一直保持着一种冷漠，尤其是Jeanne，她从来不和军官说话，即使是在他向他们问好的时候。让人意想不到的是，这个年轻的军官在多日的相处后，竟和他们谈论起自己的生活、音乐和法国文化，透露出他纳粹军服下隐秘的内心世界。同时，Jeanne也在积极的参与法国地下反抗德军的组织活动。渐渐地，两个来自敌对双方的年轻男女间产生了一种奇异的情感。这种情感在他们离别的时候，化成了Jeanne口中的一句话，她和他说的第一句话，...	http://movie.douban.com/subject/1769507/	
听见天堂 Rosso come il cielo	2006	剧情	意大利	96	8.9	14434	　　当上帝为你关上一扇门时，往往他会为你打开另一扇。意大利男孩米克（Luca Capriotti 饰）虽然出身在穷乡僻壤，但他从小就梦想成一流的电影大师，只因他是那么的热爱电影。然而上帝跟他开了一个最残酷的玩笑，米克玩弄一支来复枪时不幸走火，从此他只能淹没在巨大的黑暗当中。 这一度令米克感到沮丧万分，仿佛活着已没有了动力。然而盲校的唐老师的一番话让米克豁然开朗，为什么音乐家在演奏时会闭上眼睛，因为那样音符会蜕变，变的更有力量。于是，米克选择了用耳朵代替眼睛，去记录他生活的点点滴滴。这时，我们才发现：原来，不仅可以看见天堂，还可以听见天堂。	http://movie.douban.com/subject/2078398/	
大路 La strada	1954	剧情	意大利	108	8.9	10124	　　由于生活所迫，母亲把弱智女孩杰索米娜（茱莉艾塔•玛西娜 Giulietta Masina 饰）卖给了江湖艺人藏巴诺（安东尼•奎恩 Anthony Quinn 饰）。在相处中，女孩却发现这个空有一身蛮力的家伙，根本不懂得照顾女人，他卖她只是为了让她做牛做马，在他演出的时候扮演小丑，平时给他做饭，陪她睡觉。这种粗暴蛮横的家伙，让她萌生逃离的念头，然而，几次出逃，均告失败。　　在一次观看高空走钢丝表演的时候，杰索米娜认识了绰号“傻瓜”的马戏团艺人——玛托（理查德•贝斯哈特 Richard Basehart 饰演），并且在他的引导下学会了演奏乐器。她非常感激，对这个男人产生了依恋。然而，但是藏巴诺的出现，再次打破了她的一切幻想，毁掉了来之不易的幸福……	http://movie.douban.com/subject/1292719/	
爱情短片 Krótki film o milosci	1988	剧情/爱情	波兰	86	8.8	8688	　　影片讲述男孩汤马克（欧拉夫·鲁巴斯赞科 Olaf Lubaszenko饰）用天文望远镜偷窥住在对面公寓大厦的女人玛格达（格拉齐娜·扎波罗斯卡 Grazyna Szapolowska饰），不知不觉中迷恋上她的故事。她的一举一动都使汤马克魂牵梦绕，她的一颦一笑更是牵动他所有的神经。透过望远镜，汤马克看到玛格达和男人做爱的情景，迟迟不敢示爱。直到他看到她痛哭失意的时候，汤马克才鼓足勇气提出邀约。可玛格达拒绝了他的表白。汤马克纯真爱情的信念一下倒塌了，此时的他想用自杀来守住这份对爱情的忠贞。自杀没有成功，等他出院的时候，玛格达居然开始迷恋上了他。　　影片是导演基耶斯洛夫斯基从他的《十戒》中第六个故事发展扩充而成的作品，并荣1988年圣塞巴斯蒂安国际电影节多项大奖。	http://movie.douban.com/subject/1294570/	
回归 Возвращение	2003	剧情/家庭	俄罗斯	105	8.8	8613	　　消失了12个年头之后，父亲重新回到家中，而两个儿子——安德列（Vladimir Garin 饰）和伊万（Ivan Dobronravov 饰）已经长大。他们虽时时刻刻思念父亲，然真正相会时却产生了隔膜感。　　父亲带着两个儿子去俄罗斯北部的小岛度假，一路上他们遇到各种困难，父亲皆能轻松解决，然而父子间的距离却始终没有拉近。他对待儿子们格外严厉，大儿子安德列对此只能小心应付，小儿子伊万却桀骜不驯。这次旅行，是否能成为父子间的疗伤之旅呢？　　本片荣获2004年金秋奖最佳外语片奖、2003年俄罗斯影评人协会最佳剧本、最佳新人和最佳电影奖，2003年威尼斯电影节最佳处女作、金狮奖等。	http://movie.douban.com/subject/1308074/	
淘金记 The Gold Rush	1925	喜剧/爱情/家庭/西部/冒险	美国	95	8.9	9904	　　流浪汉查理（查理·卓别林 Charlie Chaplin 饰）随队伍来到阿拉斯加淘金。他在一间小木屋里碰见了通缉犯拉逊，接着淘金人吉姆也闯进来，并抢走了拉逊的枪。拉逊出去找食物时发现了吉姆正在开发的金矿，于是他没回木屋。小木屋里，饥肠辘辘的查理煮了皮鞋充饥，饿的神智恍惚的吉姆却把查理想象成火鸡追杀。突然，一头熊撞进来，两人一起把熊打死，饱餐之后分道扬镳。吉姆发现了拉逊占了自己的金矿坑，拉逊将他打昏，不料却在逃跑时掉下深谷。　　查理在小镇邂逅舞女乔治亚（乔治亚·黑尔 Georgia Hale 饰），帮她摆脱暴发户的骚扰。第二次又巧遇她时，查理邀她除夕共餐，但是乔治亚爽约了，失落的查理只能在幻梦中为她表演舞蹈。被打成失忆的吉姆在镇上重遇查理，他请查理帮他一起找金矿。两人回到小木屋，却被大风雪吹落下了万丈深渊。醒来时他们惊喜地发现金矿正在身边。查理与吉姆淘金...	http://movie.douban.com/subject/1298817/	
乡愁 Ностальгия	1983	剧情	苏联 / 意大利	125	8.9	7588	　　俄国诗人安德烈（奥列格·扬科夫斯基 Oleg Yankovsky 饰）在美丽的女翻译尤金伲亚（多美兹亚娜·佐丹奴 Domiziana Giordano 饰）的陪同下，一同前往意大利寻访一位十八世纪俄国作曲家的生活。他们一起走访充满宗教意象的乡村教堂，在一座有天然温泉的古老小镇停留。 此时他遇见了不被世人理解的疯人多米尼克（厄兰·约瑟夫森 Erland Josephson 饰），村民因为他早些年囚禁家人而认为他神经失常。可安德烈看到了多米尼克疯狂下的深意，并被他所吸引。同时他拒绝了性感的尤金伲亚的示爱。此时的安德烈，游走在支离破碎的现实与超现实的梦境中不能自拔。他对祖国的思念、与家人的分离……种种情愫混杂在一起，彼此纠缠，化为终生的乡愁。　　本片获1983年戛纳电影节最佳导演奖，普通评审团奖，国际影评人费比西奖。	http://movie.douban.com/subject/1291556/	
从海底出击 Das Boot	1981	剧情/历史/战争/冒险	原西德	149	9.0	8778	　　影片改编自战地记者布克海姆的畅销自传。　　影片获荣获1982年第54届奥斯卡金奖六项提名。　　沃尔夫冈·彼得森成为第一位凭着德语电影获得最佳导演提名的人。　　影片原为六小时的电视片，现以三个不同长度的版本流传：136分钟的剧场版，216分钟的导演剪辑版，293分钟的未剪辑版。　　二次世界大战期间，德国发明了一艘出没无踪的U型深海潜水艇，在海战中无往不利。一次，这艘潜水艇奉命出击，执行对英国船队的袭击任务，当他们完成任务返航途中，却遭遇上前所未见的危机。潜在的重重危机随时威胁着舰艇上官兵的生命安全，这个貌似强大而冷冰冰的庞然大物完全不能自保，一切只能听天由命......	http://movie.douban.com/subject/1293909/	
镜子 Зеркало	1975	剧情/传记/历史/战争	苏联	108	9.0	5259	　　本片是导演安德烈·塔科夫斯基（Andrei Tarkovsky）的一部自传体电影。幼年的塔科夫斯基随着母亲（玛格瑞塔·泰瑞柯娃 Margarita Terekhova 饰）去亲戚家借钱，他独自在一个陌生的房间里发现了一面镜子，并通过镜子审视自己，在巴赫的音乐中，塔可夫斯基的回忆慢慢带出了一系列的事件：电视上在播报一个口吃的年轻人通过催眠治痊了自己；一个被家庭忽视的妻子遇上一位迷路的乡村医生，两人之间产生若即若离的关系；一个未曾露面的叙述者与前妻在争吵；一个早熟的年轻人备受军事指导员的呵责。这些毫无关联的片段式回忆通过镜子串联起来，展现了导演对时间、历史、生活、土地、梦境等意象的哲学思考。　　导演的母亲在影片中扮演艺术家的母亲；他的父亲，一位著名的俄罗斯诗人，在画外音中朗读自己的诗作。	http://movie.douban.com/subject/1299248/	
神女	1934	剧情	中国大陆	76	8.9	5818	　　上海1930年代，贫苦女人（阮玲玉）为养活儿子沦为暗娼，并不幸被一流氓看中霸占，她几次试图逃脱流氓的控制，均告失败，儿子到了入学的年龄，她不想因为没钱使儿子失去受教育的机会，便继续拿身体挣钱，为此，她要瞒着流氓从有限的收入里偷偷取出一些攒下。　　她的身份被儿子同学的家长得知，众人联合向校方施压，要“妓女的孩子”滚出校园，以免败坏学风，校长通过家访，晓得了女人的艰辛，决定让她的儿子继续在学校读书，可是一人的力量太单薄，学校董事会仍决定将其开除，女人为使孩子能继续念书，去拿积攒下的血汗钱准备远走他乡，不想她的钱已被流氓偷去赌博输光……	http://movie.douban.com/subject/1302210/	
生之欲 生きる	1952	剧情	日本	143	9.0	6078	　　市政府市民科科长渡边堪治（志村乔饰）是名近三十年全勤的模范公务员，然而他和同事们每天忙碌却人浮于事，不知道自己在忙些什么。一帮妇女联合到市政府申请填平社区附近的臭水池，在上面建造个小公园。市民科的接待人员告诉她们要把问题反映到公园科，公园课把她们推倒建设科……，申请书转了一圈后，又被踢回市民科。　　一个月后，渡边因身体不适，去医院被查出胃癌，时日无多。渡边回到家，感到孤独无助，儿子（金子信雄饰）只想着用老人的退休金及储蓄，到外面另辟小家庭。绝望中的渡边没有去上班，借酒浇愁。之后，请辞的女科员小田（小田切美善饰）给了渡边以启示。他打起精神，亲自督促建设社区公园。几个月后……	http://movie.douban.com/subject/1293847/	
让子弹飞	2010	剧情/喜剧/动作/西部	中国大陆 / 香港	132	8.7	475290	　　民国年间，花钱捐得县长的马邦德（葛优 饰）携妻（刘嘉玲 饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文 饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤 师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发 饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武 饰），黄则设计害死张的义子小六（张默 饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……　　本片根据马识途的小说《夜谭十记》中的《盗官记》一章改编。	http://movie.douban.com/subject/3742360/	
当幸福来敲门 The Pursuit of Happyness	2006	剧情/传记	美国	117	8.9	385454	　　克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Thandie Newton 饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯 Jaden Smith 饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里…… 他坚信，幸福明天就会来临。	http://movie.douban.com/subject/1849031/	
怦然心动 Flipped	2010	剧情/喜剧/爱情	美国		8.9	342518	　　布莱斯（卡兰•麦克奥利菲 Callan McAuliffe 饰）全家搬到小镇，邻家女孩朱丽（玛德琳•卡罗尔 Madeline Carroll 饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树被要被砍掉，她誓死捍卫，希望他并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑。她凭借鸡下蛋的项目获得了科技展第一名，成了全场焦点，令他黯然失色。她把自家鸡蛋送给他，他听家人怀疑她家鸡蛋不卫生，便偷偷把鸡蛋丢掉。她得知真相，很伤心，两人关系跌入冰点。她跟家人诉说，引发争吵。原来父亲一直攒钱照顾傻弟弟，所以生活拮据。她理解了父母，自己动手，还得到了他外公的鼎力相助。他向她道歉，但是并未解决问题。他开始关注她。鸡蛋风波未平，家庭晚宴与午餐男孩评选...	http://movie.douban.com/subject/3319755/	
闻香识女人 Scent of a Woman	1992	剧情	美国	157	8.9	222699	　　查理（克里斯•奥唐纳 Chris O'Donnell  饰）是一个普通的中学生，他因为见证着一件恶作剧但又不想出卖朋友，于是面临着一道艰难的选择题——要么坦白，要么被学校勒退。而史法兰（阿尔•帕西诺 Al Pacino  饰）是一个退伍军官，因为意外失明，人生从顶点的辉煌滑落谷底。　　自从两人的人生有了交集，命运的转折慢慢清晰。史法兰打算结束失去了意义的生活，于是在查理的陪伴下，尽情享受着人生最后一趟出行。他吃最美味的佳肴，买光鲜的汽车，在狭窄的街道上飚车，住在豪华的套房里，跟随陌生女子的袅袅香水味，跳一段优雅性感的探戈……极乐的疯狂后，他拿枪对准了自己的头颅。然而，查理声嘶力竭的劝阻改变了一切，曙光亦渐渐在这个老人心中重新升起，二人情深如父子。　　史法兰在学校礼堂激昂演说，挽救了查理的前途，讽刺了学校的伪善。二人在互相鼓舞中得到重生。	http://movie.douban.com/subject/1298624/	
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒	1995	喜剧/动作/爱情/奇幻/冒险	香港 / 中国大陆	87	8.9	260486	　　孙悟空（周星驰）护送唐三藏（罗家英）去西天取经路上，与牛魔王合谋欲杀害唐三藏，并偷走了月光宝盒，此举使观音萌生将其铲除心思，经唐三藏请求，孙悟空被判五百年后重新投胎做人赎其罪孽。　　五百年后孙悟空化身强盗头头至尊宝。当遇见预谋吃唐僧肉的妖怪姐妹蜘蛛精春三十娘（蓝洁瑛）和白骨精白晶晶（莫文蔚）时，因为五百年前孙悟空曾与白晶晶有过一段恋情，至尊宝与她一见钟情，但因菩提老祖将二人妖怪身份相告，至尊宝仍带领众强盗开始与二妖展开周旋，过程中，白晶晶为救至尊宝打伤春三十娘，自己也中毒受伤，为了救白晶晶，至尊宝去找春三十娘，遭白晶晶误会，绝望自杀，至尊宝开始用月光宝盒以期使时光倒流。	http://movie.douban.com/subject/1299398/	
低俗小说 Pulp Fiction	1994	剧情/惊悚/犯罪	美国	154	8.7	225911	　　《低俗小说》由“文森特和马沙的妻子”、“金表”、“邦妮的处境”三个故事以及影片首尾的序幕和尾声五个部分组成。看似独立的小故事里面，却又有环环相扣的人和事。　　盗贼“小南瓜”和“小兔子”在早餐店里打劫，却遇上了天大的麻烦——黑社会成员朱尔斯（塞缪尔•杰克逊Samuel L. Jackson饰）和文森特（约翰•特拉沃尔塔John Travolta饰）在店内用餐，可谓天外有天。二人是否会放过两名小盗贼？　　而文森特是黑社会大哥马沙•华莱士（文•瑞姆斯Ving Rhames饰）的手下，马沙下命令让他陪妻子一个晚上，明知如有雷池必死无疑，但面对马沙妻子美艳诱惑，文森特该怎么办。　　文森特的故事还没完，拳击手布奇（布鲁斯•威利斯Bruce Willis饰）的出现将令他的人生从此改变。布奇有一块祖传金表，就是因为这块金表，他和马沙分享了一个耻辱的秘密。　　故事环状结构，回...	http://movie.douban.com/subject/1291832/	
美丽心灵 A Beautiful Mind	2001	剧情/传记	美国	135	8.9	212748	　　本片是关于20世纪伟大数学家小约翰•福布斯-纳什的人物传记片。　　小约翰•福布斯-纳什（拉塞尔•克劳）在念研究生时，便发表了著名的博弈理论，该理论虽只有短短26页，却在经济、军事等领域产生了深远的影响。但就在小约翰•福布斯-纳什蜚声国际时，他的出众直觉因为精神分裂症受到困扰，然而这并没阻止他向学术上的最高层进军的步伐，在深爱他的妻子艾丽西亚（珍妮弗•康纳利）的鼓励和帮助下，他走得虽然艰缓，却始终没有停步，而最终，凭借十几年的不懈努力和顽强意志，他如愿以偿。	http://movie.douban.com/subject/1306029/	
指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring	2001	剧情/动作/奇幻/冒险	新西兰 / 美国	178	8.9	211834	　　比尔博•巴金斯是100多岁的哈比人，住在故乡夏尔，生性喜欢冒险，在年轻时的一次探险经历中，他从怪物咕噜手中得到了至尊魔戒，这枚戒指是黑暗魔君索伦打造的至尊魔戒，拥有奴役世界的邪恶力量，能够统领其他几枚力量之戒，在3000年前的人类联盟和半兽人大军的战役中，联盟取得了胜利，并得到了至尊魔戒，数千年的辗转后，魔戒落到咕噜手中，被比尔博碰巧得到。　　因为和魔戒的朝夕相处，比尔博的心性也受到了影响，在他111岁的生日宴会上，他决定把一切都留给侄子佛罗多(伊莱贾•伍德 饰)，继续冒险。　　比尔博的好朋友灰袍巫师甘道夫（伊恩•麦凯伦 饰）知道至尊魔戒的秘密，同时，黑暗魔君索伦已经知道他的魔戒落在哈比族的手中。索伦正在重新建造要塞巴拉多，集结无数的半兽人，准备以大军 夺取魔戒，并且征服全世界。　　甘道夫说服佛罗多将魔戒护送到精灵王国瑞文希尔，佛罗多在好朋友山姆、皮平和梅...	http://movie.douban.com/subject/1291571/	
死亡诗社 Dead Poets Society	1989	剧情	美国	128	8.9	181972	　　威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板。　　基汀带学生们在校史楼内聆听死亡的声音，反思生的意义 ；让男生们在绿茵场上宣读自己的理想；鼓励学生站在课桌上，用新的视角俯瞰世界。老师自由发散式的哲学思维让学生内心产生强烈的共鸣，他们渐渐学会自己思考与求索，勇敢的追问人生的路途，甚至违反门禁，成立死亡诗社，在山洞里击节而歌！　　基汀教授、基汀老师、基汀队长，他的教育宛若春风化雨，润物无声的留在每个人心里…	http://movie.douban.com/subject/1291548/	
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers	2002	剧情/动作/奇幻/冒险	美国 / 新西兰	179	8.9	190663	　　第二部在延续第一部风格的同时，故事呈现出多线发展的格局，情节有了更高的观赏性。　　第一部结尾，博罗米尔被强兽人杀死之后，两个哈比族人皮平和梅利也被强兽人绑架，阿拉贡、精灵莱戈拉斯（奥兰多•布鲁姆 饰）、侏儒金利一路追踪强兽人，营救皮平和梅利，遇到了“复活”的白袍巫师甘道夫（伊恩•麦凯伦 饰）。此时，投降索伦的白袍巫师萨鲁曼控制了人类洛汉王国的国王，并派出大量的强兽人军队，准备消灭人类。阿拉贡、莱戈拉斯和金利在甘道夫的带领下，帮助洛汉王国对抗邪恶力量的入侵。　　幸运的皮平和梅利被会说话的树精救了出来，并且遇到“复活”的甘道夫，在甘道夫的授意下，树精保护了两人的安全，并且带他们参加树精大会，大会上，树精们讨论对待中土大战的态度：是继续当中立者，逆来顺受，还是奋起反抗？　　身负重任的佛罗多(伊莱贾•伍德 饰)和山姆继续向末日山脉前进，一路上被咕噜跟踪，弗罗多依靠...	http://movie.douban.com/subject/1291572/	
阳光姐妹淘 써니	2011	剧情	韩国	124	8.9	170767	　　25年前，高中生任娜美（沈恩京 饰）一家从全罗道搬到汉城，娜美入读真德女子高中，因方言浓重怯于开口的娜美幸运的得到了同班大姐头夏春花（姜索拉 饰）的维护，并与围绕在夏春花周围的执着于双眼皮的金玫瑰、满嘴脏话的黄珍熙、梦想成为作家的徐金玉、要成为韩国小姐的俞福姬以及沉默傲慢的美人郑秀智等五人结识。在一次和不良少女团对决之后，春花和娜美等七人组成了“Sunny”团体……　　多年以后，家庭主妇娜美在去医院探望母亲时偶然重逢了身患绝症住院的春花，后者希望在生命的最后两个月内，能够再见当年的Sunny成员。娜美找到金玫瑰，两人委托私家侦探寻找当年的同伴，而那些关于青春的回忆，也在一个个熟悉的名姓后面再次被唤醒。	http://movie.douban.com/subject/4917726/	
爱在黎明破晓前 Before Sunrise	1995	剧情/爱情	美国 / 奥地利 / 瑞士	105	8.7	143822	　　美国青年杰西（伊桑·霍克 Ethan Hawke 饰）在火车上偶遇了法国女学生塞琳娜（朱莉·德尔佩 Julie Delpy 饰），两人在火车上交谈甚欢。当火车到达维也纳时，杰西盛情邀请塞琳娜一起在维也纳游览一番，即使杰西翌日便要坐飞机离开。与杰西一见钟情的塞琳娜接受了杰西的邀请。　　他们一边游览城市，一边谈论着彼此的过去 ，彼此对生活的感想，两人了解越加深刻。他们非常珍惜这美妙的晚上，这对恋人一起经历了很多浪漫的经历因为他们约定在半年后再见，而此次约会将会在日出之间结束……	http://movie.douban.com/subject/1296339/	
再见我们的幼儿园 さよならぼくたちのようちえん	2011	剧情	日本	105	8.8	79704	　　好朋友洋武因病退学，无法参加毕园典礼。与他同在朝阳幼儿园紫罗兰组的康娜（芦田爱菜 饰）、拓实（佐藤瑠生亮 饰）、美琴（本田望结 饰）、俊佑（黑田博之 饰）、优衣（庵原凉香 饰）偷偷溜出幼儿园，从新宿搭上了开往高尾的中央线列车，去寻找他们的好朋友。他们在换乘站不慎和优衣失散，还遭遇了会把人变成玉米的流浪汉大叔（岸部一德 饰）。总之，漫漫的旅途中充满了快乐与艰险，他们纯真的友情也经受着考验。　　与此同时，幼儿园和家长方面急作一团，担任紫罗兰组老师的万里（满岛光 饰）从优衣那里得到线索，独自踏上了寻找的旅程……	http://movie.douban.com/subject/5960606/	
菊次郎的夏天 菊次郎の夏	1999	剧情/喜剧	日本	121	8.7	117574	　　暑假到来，自幼丧父的小学三年级学生正男（关口雄介饰），如今和奶奶生活在一起，暑假特别无聊。他拿出母亲从外地寄回的信，准备自己一个人去爱知县丰桥市看望母亲。　　邻居阿姨（岸本加世子饰）发现后，决定帮正男完成心愿。她拿出一笔钱做为旅费，还安排游手好闲的老公菊次郎（北野武饰）陪伴正男一起踏上寻母之途。可是在第一天，菊次郎就把老婆给的钱全部输光，于是两个人只好步行前往爱知。　　一路搭顺风车，惹了不少麻烦后，菊次郎终于带着正男到了他母亲的家，但小男孩却十分沮丧。归途中，菊次郎努力安慰他，二人过得十分愉快，夏天就这么过去了。	http://movie.douban.com/subject/1293359/	
碧海蓝天 Le grand bleu	1988	剧情/爱情/冒险	法国 / 美国 / 意大利	168	8.8	86345	　　杰克（让-马克•巴尔 Jean-Marc Barr）在希腊海边长大，虽然小时候眼看着爸爸死于一次潜水事故，却没有削减杰克对大海的热爱。当杰克的朋友恩佐（让·雷诺 Jean Reno饰）找到他，劝说他参加潜水冠军大赛时，杰克答应了，在比赛中成绩突出勇夺冠军，并且得到了乔安娜（罗姗娜•阿奎特 Rosanna Arquette饰）的爱。两人打得火热，杰克却意识到他放不下、离不开大海。　　意外发生了。好友恩佐在潜水中不幸丧生，杰克把恩佐的尸首放入大海当中，杰克的心中非常迷乱，他觉得自己不再属于人类社会，只想潜进深海，像海豚一样陪伴大海一生。尽管传来了乔安娜怀孕的消息，杰克深情的看了看爱人，转身投入了大海的怀抱。	http://movie.douban.com/subject/1300960/	
荒野生存 Into the Wild	2007	剧情/传记/冒险	美国	148	8.7	90764	　　影片改编自真实的故事，展现了一个理想主义者的传奇，一个流浪的故事。　　克里斯托弗（埃米尔•赫斯基 饰）家境优渥，是亚特兰大私立名校艾莫里的优等生，前程似锦。但是，他从学校毕业后，选择了截然不同的人生，放弃令人羡慕的工作，把存款捐给慈善机构，去阿拉斯加寻找自我。在家人的劝阻声中，他踏上了回归自然的慢慢长路，成为名副其实的流浪者。　　一路上，他遇到不少人，也数次遭受野外生存的挑战，每一步都充满了艰辛，他以坚韧的毅力，实践着寻找自我的梦想……	http://movie.douban.com/subject/1905462/	
勇士 Warrior	2011	剧情/动作/家庭/运动	美国	140	8.9	61470	　　这是一个破碎的家庭，酗酒的教练父亲帕迪（尼克·诺特 Nick Nolte 饰）家暴妻子，次子汤米（汤姆·哈迪 Tom Hardy 饰）与不堪忍受的母亲远赴他乡；长子布兰登（乔尔·埃哲顿 Joel Edgerton 饰）为了爱情选择留下，并认为从此可以得到父亲的器重与栽培，然而最后父子还是分道扬镳。时隔多年后，汤米带着母亲痛苦死去的悲伤记忆，以及在伊战中的惨痛经历找到父亲，要求后者再度担任自己的教练，以参加MMA的重奖大赛；几乎与此同时，昔日的职业格斗选手、如今的中学物理教师布兰登为金钱所困扰，他不能忍受自己无法为妻女提供庇护，决定重返赛场。在MMA的赛场上，这对分离多年的兄弟将再度聚首，用血与汗的交融，化释彼此的心结……	http://movie.douban.com/subject/3217169/	
